Client ID,Year,Service ID,Cost,ROI,Feedback
CL001,2019,SER002,3875.25,47.5,3
CL002,2018,SER001,2450.50,18.2,4
CL002,2021,SER008,4598.00,72.8,1
CL002,2018,SER010,3867.50,62.7,2
CL002,2023,SER005,4315.50,84.3,0
CL003,2020,SER007,3142.75,55.9,4
CL003,2022,SER006,2150.25,34.7,3
CL003,2019,SER003,1623.75,27.1,2
CL004,2019,SER005,4315.50,48.6,1
CL004,2023,SER001,2450.50,93.4,4
CL004,2021,SER004,2987.00,81.6,5
CL005,2020,SER011,2195.25,8.9,3
CL005,2022,SER013,1836.25,66.5,2
CL006,2018,SER003,1623.75,41.2,0
CL006,2019,SER006,2150.25,19.3,1
CL007,2021,SER012,3573.00,35.7,4
CL007,2023,SER010,3867.50,92.1,3
CL008,2019,SER007,3142.75,64.2,5
CL008,2020,SER002,3875.25,88.9,2
CL008,2021,SER004,2987.00,11.4,1
CL008,2018,SER013,1836.25,29.0,0
CL008,2022,SER001,2450.50,68.3,4
CL009,2018,SER005,4315.50,31.7,3
CL009,2023,SER009,1275.75,98.1,2
CL010,2019,SER011,2195.25,17.3,1
CL010,2021,SER003,1623.75,3.6,0
CL010,2022,SER002,3875.25,88.5,5
CL010,2023,SER012,3573.00,56.4,4
CL011,2020,SER002,3875.25,12.8,3
CL011,2021,SER007,3142.75,58.9,0
CL011,2019,SER009,1275.75,31.6,4
CL012,2022,SER003,1623.75,44.2,1
CL012,2023,SER013,1836.25,77.8,2
CL012,2018,SER006,2150.25,69.7,5
CL012,2020,SER008,4598.00,5.3,0
CL013,2019,SER010,3867.50,87.4,3
CL013,2021,SER004,2987.00,22.1,4
CL013,2023,SER005,4315.50,41.9,1
CL014,2020,SER011,2195.25,63.6,2
CL014,2022,SER001,2450.50,28.7,5
CL015,2018,SER012,3573.00,9.5,4
CL015,2019,SER003,1623.75,79.8,3
CL016,2022,SER013,1836.25,37.4,0
CL016,2023,SER007,3142.75,81.2,5
CL016,2020,SER006,2150.25,67.9,1
CL016,2021,SER005,4315.50,54.3,2
CL017,2018,SER010,3867.50,35.0,3
CL017,2022,SER004,2987.00,94.8,0
CL017,2023,SER002,3875.25,19.2,4
CL017,2020,SER001,2450.50,12.6,5
CL018,2021,SER003,1623.75,70.3,3
CL018,2019,SER008,4598.00,47.9,2
CL018,2022,SER009,1275.75,57.6,1
CL019,2018,SER007,3142.75,99.1,0
CL019,2019,SER004,2987.00,42.0,5
CL019,2020,SER012,3573.00,31.4,4
CL019,2021,SER006,2150.25,5.7,1
CL019,2022,SER005,4315.50,24.6,2
CL020,2023,SER011,2195.25,15.2,3
CL020,2018,SER001,2450.50,76.4,4
CL020,2019,SER010,3867.50,92.0,0
CL021,2021,SER003,1623.75,56.7,2
CL021,2019,SER008,4598.00,85.1,3
CL021,2022,SER005,4315.50,46.3,1
CL022,2018,SER011,2195.25,11.7,5
CL022,2019,SER006,2150.25,74.9,4
CL022,2020,SER012,3573.00,24.8,0
CL022,2021,SER007,3142.75,35.5,2
CL023,2022,SER004,2987.00,9.6,3
CL023,2019,SER013,1836.25,62.4,1
CL023,2020,SER009,1275.75,42.7,5
CL023,2021,SER010,3867.50,27.3,4
CL024,2022,SER001,2450.50,88.2,0
CL024,2018,SER003,1623.75,71.5,2
CL025,2023,SER006,2150.25,98.3,5
CL025,2018,SER012,3573.00,32.9,4
CL025,2021,SER005,4315.50,7.8,1
CL025,2019,SER004,2987.00,51.4,3
CL026,2022,SER002,3875.25,40.2,0
CL026,2023,SER007,3142.75,66.8,5
CL026,2018,SER001,2450.50,22.5,4
CL027,2022,SER010,3867.50,28.7,1
CL027,2019,SER009,1275.75,98.4,2
CL027,2020,SER004,2987.00,54.7,0
CL027,2021,SER005,4315.50,88.0,3
CL028,2018,SER003,1623.75,12.6,5
CL028,2022,SER008,4598.00,71.0,2
CL028,2019,SER007,3142.75,95.8,4
CL028,2020,SER011,2195.25,32.3,1
CL028,2021,SER013,1836.25,67.1,0
CL029,2022,SER012,3573.00,40.4,3
CL029,2018,SER010,3867.50,24.9,4
CL029,2019,SER002,3875.25,53.7,1
CL029,2020,SER005,4315.50,79.3,2
CL030,2021,SER004,2987.00,35.8,5
CL030,2022,SER006,2150.25,9.1,0
CL030,2019,SER001,2450.50,69.8,3
CL030,2023,SER013,1836.25,15.7,2
CL031,2020,SER008,4598.00,64.4,4
CL031,2021,SER011,2195.25,88.9,1
CL031,2018,SER007,3142.75,7.6,0
CL031,2019,SER005,4315.50,41.2,5
CL032,2023,SER010,3867.50,34.5,3
CL032,2018,SER003,1623.75,94.1,2
CL032,2020,SER009,1275.75,57.0,1
CL032,2021,SER006,2150.25,28.9,0
CL033,2019,SER012,3573.00,89.4,4
CL033,2020,SER004,2987.00,18.8,5
CL033,2021,SER013,1836.25,49.1,2
CL033,2022,SER002,3875.25,8.4,1
CL034,2023,SER003,1623.75,60.7,3
CL034,2018,SER005,4315.50,34.8,0
CL034,2019,SER001,2450.50,74.5,4
CL034,2020,SER010,3867.50,27.6,1
CL035,2021,SER007,3142.75,11.3,2
CL035,2022,SER006,2150.25,87.6,5
CL035,2019,SER008,4598.00,73.1,4
CL035,2023,SER004,2987.00,45.9,3
CL036,2018,SER011,2195.25,69.0,0
CL036,2021,SER013,1836.25,29.7,1
CL036,2019,SER003,1623.75,96.3,2
CL036,2020,SER009,1275.75,56.2,5
CL036,2022,SER010,3867.50,45.7,4
CL037,2023,SER005,4315.50,83.4,3
CL037,2018,SER001,2450.50,12.0,4
CL037,2019,SER012,3573.00,21.8,5
CL037,2020,SER007,3142.75,62.3,0
CL038,2021,SER003,1623.75,45.9,1
CL038,2018,SER005,4315.50,87.2,2
CL038,2022,SER004,2987.00,4.5,3
CL038,2023,SER002,3875.25,68.0,4
CL039,2019,SER006,2150.25,23.9,5
CL039,2020,SER011,2195.25,88.3,4
CL039,2021,SER008,4598.00,41.6,3
CL040,2022,SER013,1836.25,61.2,2
CL040,2018,SER003,1623.75,79.7,1
CL040,2019,SER010,3867.50,9.6,0
CL040,2020,SER009,1275.75,34.8,5
CL041,2021,SER004,2987.00,5.3,4
CL041,2022,SER006,2150.25,52.9,3
CL041,2019,SER001,2450.50,94.8,2
CL041,2020,SER007,3142.75,27.3,1
CL042,2023,SER012,3573.00,46.7,0
CL042,2018,SER010,3867.50,63.0,5
CL042,2019,SER002,3875.25,74.1,4
CL042,2020,SER005,4315.50,22.0,1
CL043,2021,SER003,1623.75,56.6,2
CL043,2018,SER005,4315.50,9.8,3
CL043,2022,SER004,2987.00,33.1,4
CL043,2023,SER002,3875.25,70.5,5
CL044,2019,SER006,2150.25,68.2,0
CL044,2020,SER011,2195.25,44.8,1
CL044,2021,SER008,4598.00,7.5,2
CL045,2022,SER013,1836.25,37.7,3
CL045,2018,SER003,1623.75,97.0,4
CL045,2019,SER010,3867.50,79.1,5
CL046,2020,SER007,3142.75,29.6,1
CL046,2021,SER005,4315.50,87.7,2
CL046,2019,SER004,2987.00,44.5,3
CL046,2023,SER006,2150.25,61.3,4
CL046,2018,SER012,3573.00,95.5,5
CL047,2019,SER002,3875.25,15.1,0
CL047,2020,SER003,1623.75,79.8,1
CL047,2021,SER010,3867.50,47.4,2
CL047,2022,SER004,2987.00,6.8,3
CL047,2023,SER005,4315.50,81.3,4
CL048,2018,SER007,3142.75,59.0,5
CL048,2019,SER006,2150.25,15.7,0
CL048,2020,SER011,2195.25,88.5,1
CL048,2021,SER013,1836.25,76.3,2
CL048,2022,SER001,2450.50,45.2,3
CL048,2023,SER012,3573.00,31.6,4
CL048,2018,SER010,3867.50,6.4,5
CL049,2019,SER007,3142.75,60.0,0
CL049,2020,SER002,3875.25,12.8,1
CL049,2021,SER004,2987.00,85.1,2
CL049,2022,SER005,4315.50,46.3,3
CL050,2018,SER011,2195.25,11.7,4
CL050,2019,SER006,2150.25,74.9,5
CL050,2020,SER012,3573.00,24.8,0
CL050,2021,SER007,3142.75,35.5,1
CL051,2022,SER004,2987.00,9.6,2
CL051,2019,SER013,1836.25,62.4,3
CL051,2020,SER009,1275.75,42.7,4
CL051,2021,SER010,3867.50,27.3,5
CL052,2022,SER001,2450.50,88.2,0
CL052,2018,SER003,1623.75,71.5,1
CL052,2023,SER006,2150.25,74.9,2
CL052,2018,SER012,3573.00,24.8,3
CL052,2019,SER007,3142.75,35.5,4
CL053,2018,SER010,3867.50,24.9,5
CL053,2019,SER002,3875.25,53.7,0
CL053,2020,SER005,4315.50,79.3,1
CL054,2021,SER004,2987.00,35.8,2
CL054,2022,SER006,2150.25,9.1,3
CL054,2019,SER001,2450.50,69.8,4
CL054,2023,SER013,1836.25,15.7,5
CL055,2020,SER008,4598.00,64.4,0
CL055,2021,SER011,2195.25,88.9,1
CL055,2018,SER007,3142.75,7.6,2
CL055,2019,SER005,4315.50,41.2,3
CL056,2023,SER010,3867.50,34.5,4
CL056,2018,SER003,1623.75,94.1,5
CL056,2020,SER009,1275.75,57.0,0
CL056,2021,SER006,2150.25,28.9,1
CL057,2019,SER012,3573.00,89.4,2
CL057,2020,SER004,2987.00,18.8,3
CL057,2021,SER013,1836.25,49.1,4
CL057,2022,SER002,3875.25,8.4,5
CL058,2023,SER003,1623.75,60.7,0
CL058,2018,SER005,4315.50,34.8,1
CL058,2019,SER001,2450.50,74.5,2
CL058,2020,SER010,3867.50,27.6,3
CL059,2021,SER007,3142.75,11.3,4
CL059,2022,SER006,2150.25,87.6,5
CL059,2019,SER008,4598.00,73.1,0
CL059,2023,SER004,2987.00,45.9,1
CL060,2018,SER011,2195.25,69.0,2
CL060,2021,SER013,1836.25,29.7,3
CL060,2019,SER003,1623.75,96.3,4
CL060,2020,SER009,1275.75,56.2,5
CL060,2022,SER010,3867.50,45.7,0
CL061,2023,SER005,4315.50,83.4,1
CL061,2018,SER001,2450.50,12.0,2
CL061,2019,SER012,3573.00,21.8,3
CL061,2020,SER007,3142.75,62.3,4
CL062,2021,SER003,1623.75,45.9,5
CL062,2018,SER005,4315.50,87.2,0
CL062,2022,SER004,2987.00,4.5,1
CL062,2023,SER002,3875.25,68.0,2
CL063,2019,SER006,2150.25,23.9,3
CL063,2020,SER011,2195.25,88.3,4
CL063,2021,SER008,4598.00,41.6,5
CL064,2022,SER013,1836.25,61.2,0
CL064,2018,SER003,1623.75,79.7,1
CL064,2019,SER010,3867.50,9.6,2
CL064,2020,SER009,1275.75,34.8,3
CL065,2021,SER004,2987.00,5.3,4
CL065,2022,SER006,2150.25,52.9,5
CL065,2019,SER001,2450.50,94.8,0
CL065,2020,SER007,3142.75,27.3,1
CL066,2023,SER012,3573.00,46.7,2
CL066,2018,SER010,3867.50,63.0,3
CL066,2019,SER002,3875.25,74.1,4
CL066,2020,SER005,4315.50,22.0,5
CL067,2021,SER004,2987.00,35.8,0
CL067,2022,SER006,2150.25,9.1,1
CL067,2019,SER001,2450.50,69.8,2
CL067,2023,SER013,1836.25,15.7,3
CL068,2020,SER008,4598.00,64.4,4
CL068,2021,SER011,2195.25,88.9,5
CL068,2018,SER007,3142.75,7.6,0
CL068,2019,SER005,4315.50,41.2,1
CL069,2023,SER010,3867.50,34.5,2
CL069,2018,SER003,1623.75,94.1,3
CL069,2020,SER009,1275.75,57.0,4
CL069,2021,SER006,2150.25,28.9,5
CL070,2019,SER012,3573.00,89.4,0
CL070,2020,SER004,2987.00,18.8,1
CL070,2021,SER013,1836.25,49.1,2
CL070,2022,SER002,3875.25,8.4,3
CL071,2023,SER003,1623.75,60.7,4
CL071,2018,SER005,4315.50,34.8,5
CL071,2019,SER001,2450.50,74.5,0
CL071,2020,SER010,3867.50,27.6,1
CL072,2021,SER007,3142.75,11.3,2
CL072,2022,SER006,2150.25,87.6,3
CL072,2019,SER008,4598.00,73.1,4
CL072,2023,SER004,2987.00,45.9,5
CL073,2018,SER011,2195.25,69.0,0
CL073,2021,SER013,1836.25,29.7,1
CL073,2019,SER003,1623.75,96.3,2
CL073,2020,SER009,1275.75,56.2,3
CL073,2022,SER010,3867.50,45.7,4
CL074,2023,SER005,4315.50,83.4,5
CL074,2018,SER001,2450.50,12.0,0
CL074,2019,SER012,3573.00,21.8,1
CL074,2020,SER007,3142.75,62.3,2
CL075,2021,SER003,1623.75,45.9,3
CL075,2018,SER005,4315.50,87.2,4
CL075,2022,SER004,2987.00,4.5,5
CL075,2023,SER002,3875.25,68.0,0
CL076,2019,SER006,2150.25,23.9,1
CL076,2020,SER011,2195.25,88.3,2
CL076,2021,SER008,4598.00,41.6,3
CL077,2022,SER013,1836.25,61.2,4
CL077,2018,SER003,1623.75,79.7,5
CL077,2019,SER010,3867.50,9.6,0
CL077,2020,SER009,1275.75,34.8,1
CL078,2021,SER004,2987.00,5.3,2
CL078,2022,SER006,2150.25,52.9,3
CL078,2019,SER001,2450.50,94.8,4
CL078,2020,SER007,3142.75,27.3,5
CL079,2023,SER012,3573.00,46.7,0
CL079,2018,SER010,3867.50,63.0,1
CL079,2019,SER002,3875.25,74.1,2
CL079,2020,SER005,4315.50,22.0,3
CL080,2021,SER004,2987.00,35.8,4
CL080,2022,SER006,2150.25,9.1,5
CL080,2019,SER001,2450.50,69.8,0
CL080,2023,SER013,1836.25,15.7,1
CL081,2020,SER008,4598.00,64.4,2
CL081,2021,SER011,2195.25,88.9,3
CL081,2018,SER007,3142.75,7.6,4
CL081,2019,SER005,4315.50,41.2,5
CL082,2023,SER010,3867.50,34.5,0
CL082,2018,SER003,1623.75,94.1,1
CL082,2020,SER009,1275.75,57.0,2
CL082,2021,SER006,2150.25,28.9,3
CL083,2019,SER012,3573.00,89.4,4
CL083,2020,SER004,2987.00,18.8,5
CL083,2021,SER013,1836.25,49.1,0
CL083,2022,SER002,3875.25,8.4,1
CL084,2023,SER003,1623.75,60.7,2
CL084,2018,SER005,4315.50,34.8,3
CL084,2019,SER001,2450.50,74.5,4
CL084,2020,SER010,3867.50,27.6,5
CL085,2021,SER007,3142.75,11.3,4
CL085,2022,SER006,2150.25,87.6,5
CL085,2019,SER008,4598.00,73.1,0
CL085,2023,SER004,2987.00,45.9,1
CL086,2018,SER011,2195.25,69.0,2
CL086,2021,SER013,1836.25,29.7,3
CL086,2019,SER003,1623.75,96.3,4
CL086,2020,SER009,1275.75,56.2,5
CL086,2022,SER010,3867.50,45.7,0
CL087,2023,SER005,4315.50,83.4,1
CL087,2018,SER001,2450.50,12.0,2
CL087,2019,SER012,3573.00,21.8,3
CL087,2020,SER007,3142.75,62.3,4
CL088,2021,SER003,1623.75,45.9,5
CL088,2018,SER005,4315.50,87.2,0
CL088,2022,SER004,2987.00,4.5,1
CL088,2023,SER002,3875.25,68.0,2
CL089,2019,SER006,2150.25,23.9,3
CL089,2020,SER011,2195.25,88.3,4
CL089,2021,SER008,4598.00,41.6,5
CL090,2022,SER013,1836.25,61.2,0
CL090,2018,SER003,1623.75,79.7,1
CL090,2019,SER010,3867.50,9.6,2
CL090,2020,SER009,1275.75,34.8,3
CL091,2021,SER004,2987.00,5.3,4
CL091,2022,SER006,2150.25,52.9,5
CL091,2019,SER001,2450.50,94.8,0
CL091,2020,SER007,3142.75,27.3,1
CL092,2023,SER012,3573.00,46.7,2
CL092,2018,SER010,3867.50,63.0,3
CL092,2019,SER002,3875.25,74.1,4
CL092,2020,SER005,4315.50,22.0,5
CL093,2021,SER004,2987.00,35.8,0
CL093,2022,SER006,2150.25,9.1,1
CL093,2019,SER001,2450.50,69.8,2
CL093,2023,SER013,1836.25,15.7,3
CL094,2020,SER008,4598.00,64.4,4
CL094,2021,SER011,2195.25,88.9,5
CL094,2018,SER007,3142.75,7.6,0
CL094,2019,SER005,4315.50,41.2,1
CL095,2023,SER010,3867.50,34.5,2
CL095,2018,SER003,1623.75,94.1,3
CL095,2020,SER009,1275.75,57.0,4
CL095,2021,SER006,2150.25,28.9,5
CL096,2019,SER012,3573.00,89.4,0
CL096,2020,SER004,2987.00,18.8,1
CL096,2021,SER013,1836.25,49.1,2
CL096,2022,SER002,3875.25,8.4,3
CL097,2023,SER003,1623.75,60.7,4
CL097,2018,SER005,4315.50,34.8,5
CL097,2019,SER001,2450.50,74.5,0
CL097,2020,SER010,3867.50,27.6,1
CL098,2021,SER007,3142.75,11.3,2
CL098,2022,SER006,2150.25,87.6,3
CL098,2019,SER008,4598.00,73.1,4
CL098,2023,SER004,2987.00,45.9,5
CL099,2018,SER011,2195.25,69.0,0
CL099,2021,SER013,1836.25,29.7,1
CL099,2019,SER003,1623.75,96.3,2
CL099,2020,SER009,1275.75,56.2,3
CL099,2022,SER010,3867.50,45.7,4
CL100,2023,SER005,4315.50,83.4,5
CL100,2018,SER001,2450.50,12.0,0
CL100,2019,SER012,3573.00,21.8,1
CL100,2020,SER007,3142.75,62.3,2

